step 0000; step_loss: 3917.8752
step 0010; step_loss: 83.5386
step 0020; step_loss: 17.7368
step 0030; step_loss: 6.9507
step 0040; step_loss: 4.4650
step 0050; step_loss: 3.3828
step 0060; step_loss: 3.0297
step 0070; step_loss: 2.3968
step 0080; step_loss: 2.6881
step 0090; step_loss: 2.4273
step 0100; step_loss: 2.2512
step 0110; step_loss: 2.9033
step 0120; step_loss: 2.1489
step 0130; step_loss: 1.8623
step 0140; step_loss: 1.9560
step 0150; step_loss: 1.7636
step 0160; step_loss: 1.9271
step 0170; step_loss: 1.9495
step 0180; step_loss: 1.5811
step 0190; step_loss: 1.7606
step 0200; step_loss: 2.1116
step 0210; step_loss: 2.1555
step 0220; step_loss: 1.9772
step 0230; step_loss: 1.7617
step 0240; step_loss: 1.6076
step 0250; step_loss: 1.8305
step 0260; step_loss: 1.7757
step 0270; step_loss: 1.6223
step 0280; step_loss: 2.2683
step 0290; step_loss: 1.5200
step 0300; step_loss: 1.6217
step 0310; step_loss: 1.4431
step 0320; step_loss: 1.4511
step 0330; step_loss: 1.6085
step 0340; step_loss: 1.2533
step 0350; step_loss: 1.7945
step 0360; step_loss: 1.7499
step 0370; step_loss: 1.7824
step 0380; step_loss: 1.2395
step 0390; step_loss: 1.3610
step 0400; step_loss: 1.3360
step 0410; step_loss: 1.5962
step 0420; step_loss: 1.4804
step 0430; step_loss: 1.2231
step 0440; step_loss: 1.3438
step 0450; step_loss: 1.5993
step 0460; step_loss: 1.4104
step 0470; step_loss: 1.5290
step 0480; step_loss: 1.3798
step 0490; step_loss: 1.3678
step 0500; step_loss: 1.5667
step 0510; step_loss: 1.5398
step 0520; step_loss: 1.6297
step 0530; step_loss: 1.5887
step 0540; step_loss: 1.5239
step 0550; step_loss: 1.5434
step 0560; step_loss: 1.6734
step 0570; step_loss: 1.7597
step 0580; step_loss: 1.5560
step 0590; step_loss: 1.1856
step 0600; step_loss: 1.7745
step 0610; step_loss: 1.3362
step 0620; step_loss: 1.4950
step 0630; step_loss: 1.8351
step 0640; step_loss: 1.2550
step 0650; step_loss: 1.4013
step 0660; step_loss: 1.8203
step 0670; step_loss: 1.4287
step 0680; step_loss: 1.1030
step 0690; step_loss: 1.4226
step 0700; step_loss: 1.3182
step 0710; step_loss: 1.2078
step 0720; step_loss: 1.2674
step 0730; step_loss: 1.1194
step 0740; step_loss: 1.0950
step 0750; step_loss: 1.2161
step 0760; step_loss: 1.1748
step 0770; step_loss: 1.1500
step 0780; step_loss: 1.0493
step 0790; step_loss: 1.4687
step 0800; step_loss: 1.2122
step 0810; step_loss: 1.1823
step 0820; step_loss: 1.4397
step 0830; step_loss: 1.1209
step 0840; step_loss: 0.9757
step 0850; step_loss: 1.1136
step 0860; step_loss: 1.5019
step 0870; step_loss: 1.2296
step 0880; step_loss: 1.2766
step 0890; step_loss: 1.2749
step 0900; step_loss: 1.2459
step 0910; step_loss: 1.0686
step 0920; step_loss: 1.0169
step 0930; step_loss: 1.0576
step 0940; step_loss: 1.0061
step 0950; step_loss: 1.3042
step 0960; step_loss: 1.1382
step 0970; step_loss: 1.1802
step 0980; step_loss: 1.3449
step 0990; step_loss: 1.1268

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.429 | 0.732 | 1.038 | 1.196 | 1.405 | 1.396 |

============================
Global step:         1000
Learning rate:       0.0005
Step-time (ms):     69.0281
Train loss avg:      11.0382
--------------------------
Val loss:            1.1279
srnn loss:           0.9665
============================

Saving the model...
done in 242.96 ms
step 1000; step_loss: 1.2050
step 1010; step_loss: 0.9397
step 1020; step_loss: 0.9100
step 1030; step_loss: 1.1095
step 1040; step_loss: 1.2304
step 1050; step_loss: 0.9952
step 1060; step_loss: 1.2216
step 1070; step_loss: 1.0616
step 1080; step_loss: 1.1975
step 1090; step_loss: 0.9975
step 1100; step_loss: 0.8215
step 1110; step_loss: 0.8189
step 1120; step_loss: 1.0732
step 1130; step_loss: 0.9817
step 1140; step_loss: 1.0030
step 1150; step_loss: 1.1454
step 1160; step_loss: 0.9158
step 1170; step_loss: 1.0332
step 1180; step_loss: 1.0345
step 1190; step_loss: 1.3050
step 1200; step_loss: 1.1974
step 1210; step_loss: 0.9132
step 1220; step_loss: 1.1259
step 1230; step_loss: 1.0222
step 1240; step_loss: 1.1083
step 1250; step_loss: 1.1313
step 1260; step_loss: 0.9956
step 1270; step_loss: 0.9523
step 1280; step_loss: 0.9766
step 1290; step_loss: 0.8908
step 1300; step_loss: 1.1267
step 1310; step_loss: 0.9492
step 1320; step_loss: 0.9413
step 1330; step_loss: 1.0555
step 1340; step_loss: 1.0456
step 1350; step_loss: 0.9646
step 1360; step_loss: 0.9806
step 1370; step_loss: 0.8304
step 1380; step_loss: 0.9870
step 1390; step_loss: 1.1065
step 1400; step_loss: 1.0609
step 1410; step_loss: 1.0921
step 1420; step_loss: 0.9013
step 1430; step_loss: 0.9248
step 1440; step_loss: 1.0894
step 1450; step_loss: 1.2701
step 1460; step_loss: 0.9844
step 1470; step_loss: 1.0554
step 1480; step_loss: 0.8717
step 1490; step_loss: 1.1282
step 1500; step_loss: 0.9792
step 1510; step_loss: 1.0229
step 1520; step_loss: 1.0260
step 1530; step_loss: 1.2376
step 1540; step_loss: 0.9493
step 1550; step_loss: 0.8147
step 1560; step_loss: 0.8112
step 1570; step_loss: 1.1796
step 1580; step_loss: 0.8040
step 1590; step_loss: 1.0779
step 1600; step_loss: 0.9962
step 1610; step_loss: 0.9714
step 1620; step_loss: 0.9627
step 1630; step_loss: 1.0575
step 1640; step_loss: 0.9273
step 1650; step_loss: 1.0010
step 1660; step_loss: 0.8898
step 1670; step_loss: 0.7809
step 1680; step_loss: 1.0793
step 1690; step_loss: 0.8449
step 1700; step_loss: 0.8927
step 1710; step_loss: 0.7708
step 1720; step_loss: 1.0026
step 1730; step_loss: 0.8056
step 1740; step_loss: 0.9357
step 1750; step_loss: 0.9942
step 1760; step_loss: 0.7640
step 1770; step_loss: 0.9017
step 1780; step_loss: 0.8337
step 1790; step_loss: 0.8342
step 1800; step_loss: 1.1437
step 1810; step_loss: 1.1620
step 1820; step_loss: 1.0232
step 1830; step_loss: 0.7460
step 1840; step_loss: 0.8224
step 1850; step_loss: 0.9007
step 1860; step_loss: 0.8980
step 1870; step_loss: 0.8141
step 1880; step_loss: 0.6951
step 1890; step_loss: 0.7909
step 1900; step_loss: 0.8713
step 1910; step_loss: 0.8065
step 1920; step_loss: 0.9942
step 1930; step_loss: 0.7346
step 1940; step_loss: 0.8854
step 1950; step_loss: 0.8740
step 1960; step_loss: 0.7338
step 1970; step_loss: 1.0855
step 1980; step_loss: 0.9320
step 1990; step_loss: 0.7917

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.418 | 0.703 | 0.995 | 1.164 | 1.363 | 1.416 |

============================
Global step:         2000
Learning rate:       0.0005
Step-time (ms):     67.5818
Train loss avg:      0.9821
--------------------------
Val loss:            1.1154
srnn loss:           0.9566
============================

Saving the model...
done in 164.78 ms
step 2000; step_loss: 0.9238
step 2010; step_loss: 0.8302
step 2020; step_loss: 0.8888
step 2030; step_loss: 0.9987
step 2040; step_loss: 0.8261
step 2050; step_loss: 0.8855
step 2060; step_loss: 0.9922
step 2070; step_loss: 0.9418
step 2080; step_loss: 0.8358
step 2090; step_loss: 0.8557
step 2100; step_loss: 1.0547
step 2110; step_loss: 0.8661
step 2120; step_loss: 1.0002
step 2130; step_loss: 0.8338
step 2140; step_loss: 1.0634
step 2150; step_loss: 0.9090
step 2160; step_loss: 0.8359
step 2170; step_loss: 0.7946
step 2180; step_loss: 0.9549
step 2190; step_loss: 0.8533
step 2200; step_loss: 0.9086
step 2210; step_loss: 0.8116
step 2220; step_loss: 0.9008
step 2230; step_loss: 0.9655
step 2240; step_loss: 0.9729
step 2250; step_loss: 0.8308
step 2260; step_loss: 0.7818
step 2270; step_loss: 1.1080
step 2280; step_loss: 1.0816
step 2290; step_loss: 0.6786
step 2300; step_loss: 0.8495
step 2310; step_loss: 0.8727
step 2320; step_loss: 0.8710
step 2330; step_loss: 0.6723
step 2340; step_loss: 1.0867
step 2350; step_loss: 1.1157
step 2360; step_loss: 0.9902
step 2370; step_loss: 1.5474
step 2380; step_loss: 0.8767
step 2390; step_loss: 1.0776
step 2400; step_loss: 0.8000
step 2410; step_loss: 0.7354
step 2420; step_loss: 1.0353
step 2430; step_loss: 0.8355
step 2440; step_loss: 0.9453
step 2450; step_loss: 0.8435
step 2460; step_loss: 0.8480
step 2470; step_loss: 0.7646
step 2480; step_loss: 0.8104
step 2490; step_loss: 0.9555
step 2500; step_loss: 0.8175
step 2510; step_loss: 0.7648
step 2520; step_loss: 0.9598
step 2530; step_loss: 0.8665
step 2540; step_loss: 0.7754
step 2550; step_loss: 0.7528
step 2560; step_loss: 0.6933
step 2570; step_loss: 0.8063
step 2580; step_loss: 0.9078
step 2590; step_loss: 0.7834
step 2600; step_loss: 0.8677
step 2610; step_loss: 0.7541
step 2620; step_loss: 0.7510
step 2630; step_loss: 0.9630
step 2640; step_loss: 0.9565
step 2650; step_loss: 0.7976
step 2660; step_loss: 0.6660
step 2670; step_loss: 0.7138
step 2680; step_loss: 0.8124
step 2690; step_loss: 0.8908
step 2700; step_loss: 0.9219
step 2710; step_loss: 0.8796
step 2720; step_loss: 1.0004
step 2730; step_loss: 0.9325
step 2740; step_loss: 0.9317
step 2750; step_loss: 0.9791
step 2760; step_loss: 0.8072
step 2770; step_loss: 1.0442
step 2780; step_loss: 0.8823
step 2790; step_loss: 0.7903
step 2800; step_loss: 0.8323
step 2810; step_loss: 0.9918
step 2820; step_loss: 0.8718
step 2830; step_loss: 0.7022
step 2840; step_loss: 0.7266
step 2850; step_loss: 0.7653
step 2860; step_loss: 0.8054
step 2870; step_loss: 0.7724
step 2880; step_loss: 0.6668
step 2890; step_loss: 0.8034
step 2900; step_loss: 0.8935
step 2910; step_loss: 0.8192
step 2920; step_loss: 0.6548
step 2930; step_loss: 0.7217
step 2940; step_loss: 0.6438
step 2950; step_loss: 0.7216
step 2960; step_loss: 0.6226
step 2970; step_loss: 0.7549
step 2980; step_loss: 0.8082
step 2990; step_loss: 0.6377

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.402 | 0.681 | 0.962 | 1.121 | 1.304 | 1.248 |

============================
Global step:         3000
Learning rate:       0.0005
Step-time (ms):     65.3999
Train loss avg:      0.8456
--------------------------
Val loss:            0.9835
srnn loss:           0.8063
============================

Saving the model...
done in 184.16 ms
step 3000; step_loss: 0.7604
step 3010; step_loss: 0.7872
step 3020; step_loss: 0.6122
step 3030; step_loss: 0.6487
step 3040; step_loss: 0.7820
step 3050; step_loss: 0.7074
step 3060; step_loss: 0.7156
step 3070; step_loss: 0.6988
step 3080; step_loss: 0.7236
step 3090; step_loss: 0.9778
step 3100; step_loss: 0.7023
step 3110; step_loss: 0.7833
step 3120; step_loss: 0.7975
step 3130; step_loss: 0.8029
step 3140; step_loss: 0.9299
step 3150; step_loss: 0.8047
step 3160; step_loss: 0.6716
step 3170; step_loss: 0.7276
step 3180; step_loss: 0.5916
step 3190; step_loss: 0.9424
step 3200; step_loss: 0.8344
step 3210; step_loss: 0.7433
step 3220; step_loss: 0.8063
step 3230; step_loss: 0.8262
step 3240; step_loss: 0.7606
step 3250; step_loss: 0.8229
step 3260; step_loss: 0.6763
step 3270; step_loss: 0.6748
step 3280; step_loss: 0.6856
step 3290; step_loss: 0.7214
step 3300; step_loss: 0.7539
