step 0000; step_loss: 2.8822
step 0010; step_loss: 2.7015
step 0020; step_loss: 2.3389
step 0030; step_loss: 2.5071
step 0040; step_loss: 2.4953
step 0050; step_loss: 1.9301
step 0060; step_loss: 1.8218
step 0070; step_loss: 2.3036
step 0080; step_loss: 2.2864
step 0090; step_loss: 1.5022
step 0100; step_loss: 1.9225
step 0110; step_loss: 1.8377
step 0120; step_loss: 1.5633
step 0130; step_loss: 1.4677
step 0140; step_loss: 1.8292
step 0150; step_loss: 1.0516
step 0160; step_loss: 1.3912
step 0170; step_loss: 1.3001
step 0180; step_loss: 1.1472
step 0190; step_loss: 1.2146
step 0200; step_loss: 1.3542
step 0210; step_loss: 1.1622
step 0220; step_loss: 1.0223
step 0230; step_loss: 0.8707
step 0240; step_loss: 0.9633
step 0250; step_loss: 0.8966
step 0260; step_loss: 0.9450
step 0270; step_loss: 1.0143
step 0280; step_loss: 1.3023
step 0290; step_loss: 1.0809
step 0300; step_loss: 0.9813
step 0310; step_loss: 0.7500
step 0320; step_loss: 0.9674
step 0330; step_loss: 1.2242
step 0340; step_loss: 0.8723
step 0350; step_loss: 1.1010
step 0360; step_loss: 0.7985
step 0370; step_loss: 1.0034
step 0380; step_loss: 0.6482
step 0390; step_loss: 0.8540
step 0400; step_loss: 0.9925
step 0410; step_loss: 0.9866
step 0420; step_loss: 0.9487
step 0430; step_loss: 0.8445
step 0440; step_loss: 0.8398
step 0450; step_loss: 0.9200
step 0460; step_loss: 0.7577
step 0470; step_loss: 0.8192
step 0480; step_loss: 0.7950
step 0490; step_loss: 0.7956
step 0500; step_loss: 0.8330
step 0510; step_loss: 0.6070
step 0520; step_loss: 0.7952
step 0530; step_loss: 0.6748
step 0540; step_loss: 0.8174
step 0550; step_loss: 0.6185
step 0560; step_loss: 0.6624
step 0570; step_loss: 0.5796
step 0580; step_loss: 0.6622
step 0590; step_loss: 0.7602
step 0600; step_loss: 0.6944
step 0610; step_loss: 0.6464
step 0620; step_loss: 0.6616
step 0630; step_loss: 0.6216
step 0640; step_loss: 0.7429
step 0650; step_loss: 0.9482
step 0660; step_loss: 0.7393
step 0670; step_loss: 0.6577
step 0680; step_loss: 0.5358
step 0690; step_loss: 0.6078
step 0700; step_loss: 0.5966
step 0710; step_loss: 0.7421
step 0720; step_loss: 0.6980
step 0730; step_loss: 0.6479
step 0740; step_loss: 0.7139
step 0750; step_loss: 0.4755
step 0760; step_loss: 0.7747
step 0770; step_loss: 0.6421
step 0780; step_loss: 0.5712
step 0790; step_loss: 0.8137
step 0800; step_loss: 0.6435
step 0810; step_loss: 0.7917
step 0820; step_loss: 0.6019
step 0830; step_loss: 0.6149
step 0840; step_loss: 0.7908
step 0850; step_loss: 0.6848
step 0860; step_loss: 0.7812
step 0870; step_loss: 0.6512
step 0880; step_loss: 0.6548
step 0890; step_loss: 0.5390
step 0900; step_loss: 0.5000
step 0910; step_loss: 0.6915
step 0920; step_loss: 0.5055
step 0930; step_loss: 0.5118
step 0940; step_loss: 0.8885
step 0950; step_loss: 0.6413
step 0960; step_loss: 0.4899
step 0970; step_loss: 0.6712
step 0980; step_loss: 0.6097
step 0990; step_loss: 0.8123

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.450 | 0.821 | 1.368 | 1.617 | 2.015 | 2.885 |

============================
Global step:         1000
Learning rate:       0.0005
Step-time (ms):     38.2223
Train loss avg:      0.9554
--------------------------
Val loss:            0.8771
srnn loss:           0.7591
============================

Saving the model...
done in 421.23 ms
step 1000; step_loss: 0.5061
step 1010; step_loss: 0.5808
step 1020; step_loss: 0.4406
step 1030; step_loss: 0.5236
step 1040; step_loss: 0.4906
step 1050; step_loss: 0.5411
step 1060; step_loss: 0.5307
step 1070; step_loss: 0.5691
step 1080; step_loss: 0.6579
step 1090; step_loss: 0.4932
step 1100; step_loss: 0.6492
step 1110; step_loss: 0.5911
step 1120; step_loss: 0.4905
step 1130; step_loss: 0.5600
step 1140; step_loss: 0.5543
step 1150; step_loss: 0.4255
step 1160; step_loss: 0.4767
step 1170; step_loss: 0.5645
step 1180; step_loss: 0.4489
step 1190; step_loss: 0.5202
step 1200; step_loss: 0.4021
step 1210; step_loss: 0.5824
step 1220; step_loss: 0.6223
step 1230; step_loss: 0.5243
step 1240; step_loss: 0.4702
step 1250; step_loss: 0.5130
step 1260; step_loss: 0.5328
step 1270; step_loss: 0.4097
step 1280; step_loss: 0.9867
step 1290; step_loss: 0.6582
step 1300; step_loss: 0.4348
step 1310; step_loss: 0.4812
step 1320; step_loss: 0.6249
step 1330; step_loss: 0.4382
step 1340; step_loss: 0.5715
step 1350; step_loss: 0.4313
step 1360; step_loss: 0.5777
step 1370; step_loss: 0.5275
step 1380; step_loss: 0.4954
step 1390; step_loss: 0.4709
step 1400; step_loss: 0.4592
step 1410; step_loss: 0.3550
step 1420; step_loss: 0.5090
step 1430; step_loss: 0.6880
step 1440; step_loss: 0.4446
step 1450; step_loss: 0.4908
step 1460; step_loss: 0.3411
step 1470; step_loss: 0.4925
step 1480; step_loss: 0.6503
step 1490; step_loss: 0.5484
step 1500; step_loss: 0.4615
step 1510; step_loss: 0.4483
step 1520; step_loss: 0.3502
step 1530; step_loss: 0.5279
step 1540; step_loss: 0.3839
step 1550; step_loss: 0.5320
step 1560; step_loss: 0.4746
step 1570; step_loss: 0.4018
step 1580; step_loss: 0.4127
step 1590; step_loss: 0.4351
step 1600; step_loss: 0.5800
step 1610; step_loss: 0.4376
step 1620; step_loss: 0.6286
step 1630; step_loss: 0.5217
step 1640; step_loss: 0.5187
step 1650; step_loss: 0.6892
step 1660; step_loss: 0.7859
step 1670; step_loss: 0.5057
step 1680; step_loss: 0.4920
step 1690; step_loss: 0.6426
step 1700; step_loss: 0.5016
step 1710; step_loss: 0.4369
step 1720; step_loss: 0.4904
step 1730; step_loss: 0.4354
step 1740; step_loss: 0.3807
step 1750; step_loss: 0.4121
step 1760; step_loss: 0.4013
step 1770; step_loss: 0.3495
step 1780; step_loss: 0.4226
