step 1000; step_loss: 0.3414
step 1010; step_loss: 0.3259
step 1020; step_loss: 0.2962
step 1030; step_loss: 0.3364
step 1040; step_loss: 0.3489
step 1050; step_loss: 0.4032
step 1060; step_loss: 0.4289
step 1070; step_loss: 0.3329
step 1080; step_loss: 0.3158
step 1090; step_loss: 0.3164
step 1100; step_loss: 0.3451
step 1110; step_loss: 0.3746
step 1120; step_loss: 0.4633
step 1130; step_loss: 0.5740
step 1140; step_loss: 0.3673
step 1150; step_loss: 0.3297
step 1160; step_loss: 0.2783
step 1170; step_loss: 0.3325
step 1180; step_loss: 0.3398
step 1190; step_loss: 0.4613
step 1200; step_loss: 0.2876
step 1210; step_loss: 0.3243
step 1220; step_loss: 0.3461
step 1230; step_loss: 0.3603
step 1240; step_loss: 0.3820
step 1250; step_loss: 0.3651
step 1260; step_loss: 0.2810
step 1270; step_loss: 0.2950
step 1280; step_loss: 0.2750
step 1290; step_loss: 0.2832
step 1300; step_loss: 0.2706
step 1310; step_loss: 0.3458
step 1320; step_loss: 0.3410
step 1330; step_loss: 0.3346
step 1340; step_loss: 0.3331
step 1350; step_loss: 0.3637
step 1360; step_loss: 0.2624
step 1370; step_loss: 0.4028
step 1380; step_loss: 0.3272
step 1390; step_loss: 0.3063
step 1400; step_loss: 0.3880
step 1410; step_loss: 0.2850
step 1420; step_loss: 0.2825
step 1430; step_loss: 0.2951
step 1440; step_loss: 0.3544
step 1450; step_loss: 0.3076
step 1460; step_loss: 0.2594
step 1470; step_loss: 0.3335
step 1480; step_loss: 0.6194
step 1490; step_loss: 0.3035
step 1500; step_loss: 0.2459
step 1510; step_loss: 0.3596
step 1520; step_loss: 0.3377
step 1530; step_loss: 0.3149
step 1540; step_loss: 0.2591
step 1550; step_loss: 0.3321
step 1560; step_loss: 0.3602
step 1570; step_loss: 0.2449
step 1580; step_loss: 0.3219
step 1590; step_loss: 0.2454
step 1600; step_loss: 0.2829
step 1610; step_loss: 0.2780
step 1620; step_loss: 0.3022
step 1630; step_loss: 0.3047
step 1640; step_loss: 0.3097
step 1650; step_loss: 0.3576
step 1660; step_loss: 0.2713
step 1670; step_loss: 0.2880
step 1680; step_loss: 0.3152
step 1690; step_loss: 0.3310
step 1700; step_loss: 0.2687
step 1710; step_loss: 0.2764
step 1720; step_loss: 0.4903
step 1730; step_loss: 0.2602
step 1740; step_loss: 0.3506
step 1750; step_loss: 0.3395
step 1760; step_loss: 0.2897
step 1770; step_loss: 0.2741
step 1780; step_loss: 0.3353
step 1790; step_loss: 0.2581
step 1800; step_loss: 0.3318
step 1810; step_loss: 0.3238
step 1820; step_loss: 0.3078
step 1830; step_loss: 0.2521
step 1840; step_loss: 0.3205
step 1850; step_loss: 0.4151
step 1860; step_loss: 0.2863
step 1870; step_loss: 0.3086
step 1880; step_loss: 0.2876
step 1890; step_loss: 0.3202
step 1900; step_loss: 0.2295
step 1910; step_loss: 0.3009
step 1920; step_loss: 0.3276
step 1930; step_loss: 0.2862
step 1940; step_loss: 0.2833
step 1950; step_loss: 0.3387
step 1960; step_loss: 0.2746
step 1970; step_loss: 0.2633
step 1980; step_loss: 0.3208
step 1990; step_loss: 0.2680

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
