step 0000; step_loss: 292.9609
step 0010; step_loss: 17.4841
step 0020; step_loss: 4.5314
step 0030; step_loss: 2.1784
step 0040; step_loss: 1.2343
step 0050; step_loss: 1.4328
step 0060; step_loss: 0.9950
step 0070; step_loss: 1.1818
step 0080; step_loss: 0.8283
step 0090; step_loss: 0.7720
step 0100; step_loss: 0.8038
step 0110; step_loss: 0.8210
step 0120; step_loss: 0.7880
step 0130; step_loss: 0.6125
step 0140; step_loss: 0.6326
step 0150; step_loss: 0.4999
step 0160; step_loss: 0.8071
step 0170; step_loss: 1.2872
step 0180; step_loss: 0.6651
step 0190; step_loss: 0.6675
step 0200; step_loss: 0.5204
step 0210; step_loss: 0.6547
step 0220; step_loss: 0.5298
step 0230; step_loss: 0.5710
step 0240; step_loss: 0.6212
step 0250; step_loss: 0.5001
step 0260; step_loss: 0.6412
step 0270; step_loss: 0.5754
step 0280; step_loss: 0.5596
step 0290; step_loss: 0.4679
step 0300; step_loss: 0.4982
step 0310; step_loss: 0.5310
step 0320; step_loss: 0.5072
step 0330; step_loss: 0.5244
step 0340; step_loss: 0.7551
step 0350; step_loss: 0.4471
step 0360; step_loss: 0.6358
step 0370; step_loss: 0.4439
step 0380; step_loss: 0.4082
step 0390; step_loss: 0.4958
step 0400; step_loss: 0.4536
step 0410; step_loss: 0.4461
step 0420; step_loss: 0.4156
step 0430; step_loss: 0.3858
step 0440; step_loss: 0.5425
step 0450; step_loss: 0.4862
step 0460; step_loss: 0.5848
step 0470; step_loss: 0.4129
step 0480; step_loss: 0.5618
step 0490; step_loss: 0.4499
step 0500; step_loss: 0.3950
step 0510; step_loss: 0.4630
step 0520; step_loss: 0.5019
step 0530; step_loss: 0.3688
step 0540; step_loss: 0.4140
step 0550; step_loss: 0.3866
step 0560; step_loss: 0.3878
step 0570; step_loss: 0.4943
step 0580; step_loss: 0.5559
step 0590; step_loss: 0.5003
step 0600; step_loss: 0.3640
step 0610; step_loss: 0.4685
step 0620; step_loss: 0.4118
step 0630; step_loss: 0.4032
step 0640; step_loss: 0.5148
step 0650; step_loss: 0.3943
step 0660; step_loss: 0.4798
step 0670; step_loss: 0.4604
step 0680; step_loss: 0.4939
step 0690; step_loss: 0.5077
step 0700; step_loss: 0.3382
step 0710; step_loss: 0.3922
step 0720; step_loss: 0.3514
step 0730; step_loss: 0.3370
step 0740; step_loss: 0.3624
step 0750; step_loss: 0.4016
step 0760; step_loss: 0.4710
step 0770; step_loss: 0.4333
step 0780; step_loss: 0.4189
step 0790; step_loss: 0.3770
step 0800; step_loss: 0.4248
step 0810; step_loss: 0.3806
step 0820; step_loss: 0.3777
step 0830; step_loss: 0.3719
step 0840; step_loss: 0.4272
step 0850; step_loss: 0.4272
step 0860; step_loss: 0.4605
step 0870; step_loss: 0.3086
step 0880; step_loss: 0.4286
step 0890; step_loss: 0.4444
step 0900; step_loss: 0.3517
step 0910; step_loss: 0.5283
step 0920; step_loss: 0.4461
step 0930; step_loss: 0.4888
step 0940; step_loss: 0.4443
step 0950; step_loss: 0.3722
step 0960; step_loss: 0.4696
step 0970; step_loss: 0.4183
step 0980; step_loss: 0.5795
step 0990; step_loss: 0.3996

milliseconds     |    80 |   160 |   320 |   400 |   560 |  1000 |
walking          | 0.401 | 0.674 | 0.919 | 1.044 | 1.244 | 1.674 |

============================
Global step:         1000
Learning rate:       0.0005
Step-time (ms):     39.7549
Train loss avg:      1.5952
--------------------------
Val loss:            0.6521
srnn loss:           0.5191
============================

Saving the model...
done in 253.82 ms
step 1000; step_loss: 0.3981
step 1010; step_loss: 0.4359
step 1020; step_loss: 0.3351
step 1030; step_loss: 0.6430
step 1040; step_loss: 0.3187
step 1050; step_loss: 0.4736
step 1060; step_loss: 0.4545
step 1070; step_loss: 0.4211
step 1080; step_loss: 0.4552
step 1090; step_loss: 0.3139
step 1100; step_loss: 0.4266
step 1110; step_loss: 0.2884
step 1120; step_loss: 0.3129
step 1130; step_loss: 0.4069
step 1140; step_loss: 0.4258
step 1150; step_loss: 0.3413
step 1160; step_loss: 0.4243
step 1170; step_loss: 0.3991
step 1180; step_loss: 0.4274
step 1190; step_loss: 0.3135
step 1200; step_loss: 0.4376
step 1210; step_loss: 0.4385
step 1220; step_loss: 0.3514
step 1230; step_loss: 0.3684
step 1240; step_loss: 0.3560
step 1250; step_loss: 0.3088
step 1260; step_loss: 0.3153
step 1270; step_loss: 0.3316
step 1280; step_loss: 0.4498
step 1290; step_loss: 0.4328
step 1300; step_loss: 0.3465
step 1310; step_loss: 0.3341
step 1320; step_loss: 0.4732
step 1330; step_loss: 0.3022
step 1340; step_loss: 0.2897
step 1350; step_loss: 0.3630
step 1360; step_loss: 0.3631
step 1370; step_loss: 0.4170
step 1380; step_loss: 0.3463
step 1390; step_loss: 0.3283
step 1400; step_loss: 0.3437
step 1410; step_loss: 0.3422
step 1420; step_loss: 0.3790
step 1430; step_loss: 0.4099
step 1440; step_loss: 0.3287
step 1450; step_loss: 0.3016
step 1460; step_loss: 0.3613
step 1470; step_loss: 0.3359
step 1480; step_loss: 0.3277
