step 0000; step_loss: 6275.2393
step 0010; step_loss: 87.2511
step 0020; step_loss: 34.2228
step 0030; step_loss: 20.1690
step 0040; step_loss: 9.4039
step 0050; step_loss: 9.4760
step 0060; step_loss: 10.8497
step 0070; step_loss: 8.8443
step 0080; step_loss: 14.2525
step 0090; step_loss: 9.3359
step 0100; step_loss: 8.3382
step 0110; step_loss: 5.0110
step 0120; step_loss: 6.9878
step 0130; step_loss: 4.6909
step 0140; step_loss: 5.7010
step 0150; step_loss: 8.3354
step 0160; step_loss: 4.8975
step 0170; step_loss: 4.7922
step 0180; step_loss: 4.0129
step 0190; step_loss: 5.0670
step 0200; step_loss: 5.4150
step 0210; step_loss: 4.4145
step 0220; step_loss: 5.1526
step 0230; step_loss: 3.9598
step 0240; step_loss: 5.9220
step 0250; step_loss: 3.5385
step 0260; step_loss: 4.7529
step 0270; step_loss: 5.0391
step 0280; step_loss: 3.7302
step 0290; step_loss: 4.0359
step 0300; step_loss: 3.4294
step 0310; step_loss: 6.2312
step 0320; step_loss: 5.6807
step 0330; step_loss: 5.4589
step 0340; step_loss: 2.9188
step 0350; step_loss: 2.7767
step 0360; step_loss: 4.4356
step 0370; step_loss: 5.3150
step 0380; step_loss: 2.9088
step 0390; step_loss: 6.0695
step 0400; step_loss: 2.9815
step 0410; step_loss: 3.6696
step 0420; step_loss: 4.0190
step 0430; step_loss: 3.3364
step 0440; step_loss: 6.5796
step 0450; step_loss: 8.9073
step 0460; step_loss: 5.3179
step 0470; step_loss: 4.5615
step 0480; step_loss: 4.0788
step 0490; step_loss: 7.1962
step 0500; step_loss: 3.5137
step 0510; step_loss: 3.1945
step 0520; step_loss: 2.8977
step 0530; step_loss: 4.4931
step 0540; step_loss: 3.2270
step 0550; step_loss: 4.5183
step 0560; step_loss: 3.9812
step 0570; step_loss: 8.9274
step 0580; step_loss: 1.8746
step 0590; step_loss: 4.4766
step 0600; step_loss: 2.1924
step 0610; step_loss: 2.7857
step 0620; step_loss: 2.1379
step 0630; step_loss: 2.0389
