model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
RNN + velocity all,1000,walking,0.45,0.803,1.188,1.357,1.569,2.188
RNN + velocity all,1000,eating,0.319,0.6,1.049,1.281,1.696,2.555
RNN + velocity all,1000,smoking,0.418,0.81,1.614,1.775,2.145,3.294
RNN + velocity all,1000,discussion,0.362,0.767,1.206,1.404,1.968,2.945
RNN + velocity all,1000,directions,0.497,0.824,1.191,1.408,1.763,2.752
RNN + velocity all,1000,greeting,0.569,0.945,1.456,1.708,2.19,3.652
RNN + velocity all,1000,phoning,0.712,1.367,1.88,2.098,2.249,2.909
RNN + velocity all,1000,posing,0.476,0.89,1.788,2.187,2.914,4.387
RNN + velocity all,1000,purchases,0.651,0.944,1.413,1.595,2.175,3.814
RNN + velocity all,1000,sitting,0.494,0.852,1.47,1.736,2.148,3.581
RNN + velocity all,1000,sittingdown,0.55,1.065,1.748,2.486,2.905,3.979
RNN + velocity all,1000,takingphoto,0.33,0.662,1.081,1.254,1.481,2.336
RNN + velocity all,1000,waiting,0.436,0.856,1.531,1.819,2.375,3.777
RNN + velocity all,1000,walkingdog,0.635,1.097,1.797,2.148,2.71,3.653
RNN + velocity all,1000,walkingtogether,0.41,0.83,1.37,1.561,1.898,2.885
RNN + velocity all,2000,walking,0.429,0.759,1.092,1.236,1.392,1.701
RNN + velocity all,2000,eating,0.303,0.566,0.963,1.154,1.445,1.946
RNN + velocity all,2000,smoking,0.371,0.709,1.36,1.497,1.752,2.624
RNN + velocity all,2000,discussion,0.344,0.727,1.112,1.267,1.753,2.405
RNN + velocity all,2000,directions,0.463,0.756,1.038,1.21,1.453,2.154
RNN + velocity all,2000,greeting,0.557,0.919,1.368,1.584,1.988,2.471
RNN + velocity all,2000,phoning,0.685,1.303,1.768,1.957,2.009,2.47
RNN + velocity all,2000,posing,0.372,0.749,1.525,1.853,2.408,3.691
RNN + velocity all,2000,purchases,0.636,0.907,1.298,1.427,1.916,3.131
RNN + velocity all,2000,sitting,0.474,0.808,1.379,1.627,1.977,2.8
RNN + velocity all,2000,sittingdown,0.498,0.957,1.523,1.77,2.567,3.398
RNN + velocity all,2000,takingphoto,0.3,0.6,0.965,1.116,1.285,1.807
RNN + velocity all,2000,waiting,0.402,0.783,1.364,1.609,2.062,3.0
RNN + velocity all,2000,walkingdog,0.604,1.014,1.594,1.886,2.413,3.015
RNN + velocity all,2000,walkingtogether,0.378,0.763,1.213,1.352,1.57,2.213
RNN + velocity all,3000,walking,0.42,0.741,1.059,1.199,1.345,1.603
RNN + velocity all,3000,eating,0.296,0.551,0.923,1.096,1.345,1.727
RNN + velocity all,3000,smoking,0.356,0.679,1.283,1.411,1.635,2.422
RNN + velocity all,3000,discussion,0.338,0.715,1.082,1.217,1.671,2.208
RNN + velocity all,3000,directions,0.447,0.723,0.97,1.125,1.334,1.949
RNN + velocity all,3000,greeting,0.554,0.913,1.343,1.547,1.922,2.302
RNN + velocity all,3000,phoning,0.673,1.275,1.725,1.906,1.913,2.307
RNN + velocity all,3000,posing,0.353,0.73,1.466,1.773,2.269,3.159
RNN + velocity all,3000,purchases,0.628,0.89,1.257,1.369,1.813,2.871
RNN + velocity all,3000,sitting,0.466,0.791,1.347,1.589,1.913,2.638
RNN + velocity all,3000,sittingdown,0.473,0.906,1.42,1.641,2.43,3.146
RNN + velocity all,3000,takingphoto,0.292,0.579,0.925,1.071,1.23,1.666
RNN + velocity all,3000,waiting,0.388,0.752,1.297,1.526,1.946,2.773
RNN + velocity all,3000,walkingdog,0.593,0.983,1.503,1.757,2.262,2.772
RNN + velocity all,3000,walkingtogether,0.368,0.741,1.154,1.275,1.457,2.017
RNN + velocity all,4000,walking,0.414,0.73,1.042,1.181,1.325,1.54
RNN + velocity all,4000,eating,0.293,0.541,0.9,1.065,1.291,1.618
RNN + velocity all,4000,smoking,0.347,0.661,1.235,1.358,1.566,2.317
RNN + velocity all,4000,discussion,0.336,0.709,1.062,1.187,1.629,2.132
RNN + velocity all,4000,directions,0.44,0.708,0.941,1.088,1.28,1.87
RNN + velocity all,4000,greeting,0.551,0.908,1.331,1.528,1.885,2.196
