model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
RNN + velocity all,10000,directions,0.422,0.67,0.87,0.998,1.153,1.681
Transformer + velocity all,10000,directions,0.417,0.645,0.789,0.874,0.947,1.493
RNN + velocity all,10000,discussion,0.324,0.688,1.007,1.102,1.498,1.954
Transformer + velocity all,10000,discussion,0.31,0.679,0.954,1.003,1.36,1.793
RNN + velocity all,10000,eating,0.278,0.504,0.816,0.961,1.148,1.447
Transformer + velocity all,10000,eating,0.255,0.408,0.608,0.754,0.944,1.406
RNN + velocity all,10000,greeting,0.54,0.889,1.302,1.488,1.799,1.989
Transformer + velocity all,10000,greeting,0.538,0.871,1.27,1.45,1.75,2.022
RNN + velocity all,10000,phoning,0.648,1.216,1.63,1.79,1.728,2.033
Transformer + velocity all,10000,phoning,0.619,1.145,1.547,1.702,1.598,1.91
RNN + velocity all,10000,posing,0.336,0.692,1.344,1.622,1.998,2.601
Transformer + velocity all,10000,posing,0.327,0.662,1.27,1.551,1.764,2.432
RNN + velocity all,10000,purchases,0.606,0.852,1.181,1.264,1.656,2.522
Transformer + velocity all,10000,purchases,0.582,0.815,1.119,1.182,1.539,2.311
RNN + velocity all,10000,sitting,0.444,0.741,1.255,1.479,1.736,2.306
Transformer + velocity all,10000,sitting,0.421,0.677,1.082,1.27,1.447,2.054
RNN + velocity all,10000,sittingdown,0.429,0.818,1.238,1.407,1.67,2.761
Transformer + velocity all,10000,sittingdown,0.437,0.807,1.186,1.348,1.593,2.322
RNN + velocity all,10000,smoking,0.321,0.606,1.128,1.225,1.392,2.088
Transformer + velocity all,10000,smoking,0.297,0.544,0.912,1.011,1.123,1.864
RNN + velocity all,10000,takingphoto,0.282,0.552,0.88,1.024,1.176,1.503
Transformer + velocity all,10000,takingphoto,0.273,0.547,0.832,0.959,1.074,1.438
RNN + velocity all,10000,waiting,0.363,0.701,1.199,1.406,1.777,2.464
Transformer + velocity all,10000,waiting,0.352,0.688,1.156,1.335,1.641,2.401
RNN + velocity all,10000,walking,0.397,0.691,0.974,1.103,1.219,1.387
Transformer + velocity all,10000,walking,0.364,0.589,0.733,0.815,0.948,1.143
RNN + velocity all,10000,walkingdog,0.572,0.924,1.304,1.472,1.874,2.29
Transformer + velocity all,10000,walkingdog,0.57,0.924,1.223,1.344,1.692,2.16
RNN + velocity all,10000,walkingtogether,0.352,0.703,1.044,1.13,1.253,1.739
Transformer + velocity all,10000,walkingtogether,0.304,0.58,0.744,0.781,0.889,1.519
