model,step,step_loss
RNN + velocity all,0,2.7999
RNN + velocity all,10,2.9476
RNN + velocity all,20,2.2764
RNN + velocity all,30,2.0154
RNN + velocity all,40,2.1338
RNN + velocity all,50,1.9651
RNN + velocity all,60,2.6847
RNN + velocity all,70,1.7229
RNN + velocity all,80,1.5085
RNN + velocity all,90,1.7007
RNN + velocity all,100,1.6827
RNN + velocity all,110,1.6384
RNN + velocity all,120,1.245
RNN + velocity all,130,1.3037
RNN + velocity all,140,1.4374
RNN + velocity all,150,1.3391
RNN + velocity all,160,1.5828
RNN + velocity all,170,1.1801
RNN + velocity all,180,1.3123
RNN + velocity all,190,1.3793
RNN + velocity all,200,1.1253
RNN + velocity all,210,1.1639
RNN + velocity all,220,1.0982
RNN + velocity all,230,1.1634
RNN + velocity all,240,0.9677
RNN + velocity all,250,1.1042
RNN + velocity all,260,1.3148
RNN + velocity all,270,1.735
RNN + velocity all,280,1.0534
RNN + velocity all,290,1.0575
RNN + velocity all,300,0.894
RNN + velocity all,310,0.9916
RNN + velocity all,320,0.8399
RNN + velocity all,330,0.943
RNN + velocity all,340,0.8375
RNN + velocity all,350,0.9577
RNN + velocity all,360,0.7969
RNN + velocity all,370,0.8691
RNN + velocity all,380,0.9158
RNN + velocity all,390,0.9648
RNN + velocity all,400,0.8942
RNN + velocity all,410,0.5948
RNN + velocity all,420,0.5757
RNN + velocity all,430,0.6772
RNN + velocity all,440,0.7094
RNN + velocity all,450,0.6683
RNN + velocity all,460,0.6274
RNN + velocity all,470,0.6364
RNN + velocity all,480,0.6003
RNN + velocity all,490,0.6984
RNN + velocity all,500,0.6432
RNN + velocity all,510,0.6632
RNN + velocity all,520,1.4543
RNN + velocity all,530,0.76
RNN + velocity all,540,0.5548
RNN + velocity all,550,0.7971
RNN + velocity all,560,0.5942
RNN + velocity all,570,0.7303
RNN + velocity all,580,0.4914
RNN + velocity all,590,0.74
RNN + velocity all,600,0.5277
RNN + velocity all,610,0.535
RNN + velocity all,620,0.6509
RNN + velocity all,630,0.4357
RNN + velocity all,640,0.7316
RNN + velocity all,650,0.6187
RNN + velocity all,660,0.5575
RNN + velocity all,670,0.4881
RNN + velocity all,680,0.5384
