model,step,step_loss
Transformer 128/2,0,4812.1289
Transformer 128/2,10,205.4282
Transformer 128/2,20,48.0186
Transformer 128/2,30,24.7494
Transformer 128/2,40,14.7522
Transformer 128/2,50,12.1435
Transformer 128/2,60,6.7882
Transformer 128/2,70,9.8753
Transformer 128/2,80,6.4012
Transformer 128/2,90,5.201
Transformer 128/2,100,4.215
Transformer 128/2,110,3.8875
Transformer 128/2,120,3.2679
Transformer 128/2,130,3.2346
Transformer 128/2,140,2.9478
Transformer 128/2,150,3.087
Transformer 128/2,160,1.9423
Transformer 128/2,170,2.7378
Transformer 128/2,180,1.8967
Transformer 128/2,190,1.655
Transformer 128/2,200,1.682
Transformer 128/2,210,1.9215
Transformer 128/2,220,1.6699
Transformer 128/2,230,1.7091
Transformer 128/2,240,1.3719
Transformer 128/2,250,1.6459
Transformer 128/2,260,1.5445
Transformer 128/2,270,1.5049
Transformer 128/2,280,1.8212
Transformer 128/2,290,1.5974
Transformer 128/2,300,1.3417
Transformer 128/2,310,1.3019
Transformer 128/2,320,1.2176
Transformer 128/2,330,1.1643
Transformer 128/2,340,1.5311
Transformer 128/2,350,1.4552
Transformer 128/2,360,1.5611
Transformer 128/2,370,1.4085
Transformer 128/2,380,1.5227
Transformer 128/2,390,1.4125
Transformer 128/2,400,1.2808
Transformer 128/2,410,1.166
Transformer 128/2,420,1.2906
Transformer 128/2,430,1.1395
Transformer 128/2,440,1.2304
Transformer 128/2,450,0.9868
Transformer 128/2,460,1.0391
Transformer 128/2,470,1.1099
Transformer 128/2,480,1.0502
Transformer 128/2,490,1.0586
Transformer 128/2,500,1.0609
Transformer 128/2,510,1.171
Transformer 128/2,520,0.9362
Transformer 128/2,530,1.0166
Transformer 128/2,540,1.0891
Transformer 128/2,550,1.2976
Transformer 128/2,560,0.9787
Transformer 128/2,570,1.0106
Transformer 128/2,580,0.8592
Transformer 128/2,590,1.0762
Transformer 128/2,600,1.2504
Transformer 128/2,610,0.9623
Transformer 128/2,620,1.2895
Transformer 128/2,630,1.2527
Transformer 128/2,640,1.5653
Transformer 128/2,650,1.1311
Transformer 128/2,660,1.1371
Transformer 128/2,670,1.3587
Transformer 128/2,680,1.0358
Transformer 128/2,690,1.0759
Transformer 128/2,700,1.1129
Transformer 128/2,710,1.1278
Transformer 128/2,720,1.1547
Transformer 128/2,730,1.104
Transformer 128/2,740,0.9598
Transformer 128/2,750,1.0166
Transformer 128/2,760,1.1694
Transformer 128/2,770,0.9801
Transformer 128/2,780,0.8768
Transformer 128/2,790,1.342
Transformer 128/2,800,0.9644
Transformer 128/2,810,0.9651
Transformer 128/2,820,0.9503
Transformer 128/2,830,0.9753
Transformer 128/2,840,0.9603
Transformer 128/2,850,0.9121
Transformer 128/2,860,0.9717
Transformer 128/2,870,0.8149
Transformer 128/2,880,0.8764
Transformer 128/2,890,0.9638
Transformer 128/2,900,0.9857
Transformer 128/2,910,0.9587
Transformer 128/2,920,0.8749
Transformer 128/2,930,0.931
Transformer 128/2,940,0.8252
Transformer 128/2,950,0.8683
Transformer 128/2,960,0.823
Transformer 128/2,970,0.7753
Transformer 128/2,980,0.8671
Transformer 128/2,990,1.0196
Transformer 128/2,1000,0.7673
Transformer 128/2,1010,0.8177
Transformer 128/2,1020,1.0257
Transformer 128/2,1030,0.8359
Transformer 128/2,1040,1.0637
Transformer 128/2,1050,0.867
Transformer 128/2,1060,0.8281
Transformer 128/2,1070,0.8389
Transformer 128/2,1080,0.6862
Transformer 128/2,1090,0.9394
Transformer 128/2,1100,0.7868
Transformer 128/2,1110,1.1337
Transformer 128/2,1120,0.9683
Transformer 128/2,1130,0.7021
Transformer 128/2,1140,0.7464
Transformer 128/2,1150,0.9132
Transformer 128/2,1160,0.8241
Transformer 128/2,1170,0.7869
Transformer 128/2,1180,0.9742
Transformer 128/2,1190,0.9941
Transformer 128/2,1200,0.9684
Transformer 128/2,1210,0.835
Transformer 128/2,1220,0.878
Transformer 128/2,1230,0.9198
Transformer 128/2,1240,0.8138
Transformer 128/2,1250,0.8677
Transformer 128/2,1260,0.8754
Transformer 128/2,1270,0.9599
Transformer 128/2,1280,0.8595
Transformer 128/2,1290,0.876
Transformer 128/2,1300,0.9099
Transformer 128/2,1310,0.7786
Transformer 128/2,1320,0.7715
Transformer 128/2,1330,0.779
Transformer 128/2,1340,0.7737
Transformer 128/2,1350,0.8891
Transformer 128/2,1360,0.936
Transformer 128/2,1370,0.9511
Transformer 128/2,1380,1.0605
Transformer 128/2,1390,0.8046
Transformer 128/2,1400,0.8095
Transformer 128/2,1410,1.193
Transformer 128/2,1420,1.0742
Transformer 128/2,1430,0.815
Transformer 128/2,1440,0.824
Transformer 128/2,1450,0.7474
Transformer 128/2,1460,0.7254
Transformer 128/2,1470,0.8052
Transformer 128/2,1480,0.7001
Transformer 128/2,1490,0.7293
Transformer 128/2,1500,0.806
Transformer 128/2,1510,0.7576
Transformer 128/2,1520,0.9034
Transformer 128/2,1530,0.7963
Transformer 128/2,1540,0.8793
Transformer 128/2,1550,0.9269
Transformer 128/2,1560,0.747
Transformer 128/2,1570,0.8951
Transformer 128/2,1580,0.737
Transformer 128/2,1590,0.8227
Transformer 128/2,1600,0.8379
Transformer 128/2,1610,0.748
Transformer 128/2,1620,0.7398
Transformer 128/2,1630,0.7125
Transformer 128/2,1640,0.7151
Transformer 128/2,1650,0.7806
Transformer 128/2,1660,0.6903
Transformer 128/2,1670,0.9654
Transformer 128/2,1680,0.7875
Transformer 128/2,1690,0.8684
Transformer 128/2,1700,0.6882
Transformer 128/2,1710,1.0978
Transformer 128/2,1720,0.8446
Transformer 128/2,1730,0.6987
Transformer 128/2,1740,0.719
Transformer 128/2,1750,0.779
Transformer 128/2,1760,0.7008
Transformer 128/2,1770,0.8603
Transformer 128/2,1780,0.7652
Transformer 128/2,1790,0.9366
Transformer 128/2,1800,0.7652
Transformer 128/2,1810,0.7522
Transformer 128/2,1820,0.902
Transformer 128/2,1830,0.7239
Transformer 128/2,1840,0.9212
Transformer 128/2,1850,0.8869
Transformer 128/2,1860,0.7599
Transformer 128/2,1870,0.9021
Transformer 128/2,1880,0.9488
Transformer 128/2,1890,1.0319
Transformer 128/2,1900,0.715
Transformer 128/2,1910,0.7264
Transformer 128/2,1920,0.781
Transformer 128/2,1930,0.7248
Transformer 128/2,1940,0.8339
Transformer 128/2,1950,0.7534
Transformer 128/2,1960,0.8611
Transformer 128/2,1970,0.7849
Transformer 128/2,1980,0.782
Transformer 128/2,1990,0.8087
Transformer 128/2,2000,0.7257
Transformer 128/2,2010,0.7722
Transformer 128/2,2020,0.763
Transformer 128/2,2030,0.6256
Transformer 128/2,2040,0.6589
Transformer 128/2,2050,0.683
Transformer 128/2,2060,0.681
Transformer 128/2,2070,0.6764
Transformer 128/2,2080,0.8446
Transformer 128/2,2090,0.8012
Transformer 128/2,2100,0.6335
Transformer 128/2,2110,0.6429
Transformer 128/2,2120,0.7619
Transformer 128/2,2130,0.6308
Transformer 128/2,2140,0.81
Transformer 128/2,2150,0.8957
Transformer 128/2,2160,0.946
Transformer 128/2,2170,0.8418
Transformer 128/2,2180,0.6193
Transformer 128/2,2190,0.6776
Transformer 128/2,2200,0.6969
Transformer 128/2,2210,0.8785
Transformer 128/2,2220,0.699
Transformer 128/2,2230,0.9256
Transformer 128/2,2240,0.7679
Transformer 128/2,2250,0.7091
Transformer 128/2,2260,0.7312
Transformer 128/2,2270,0.6554
Transformer 128/2,2280,0.55
Transformer 128/2,2290,0.8562
Transformer 128/2,2300,0.6703
Transformer 128/2,2310,0.6512
Transformer 128/2,2320,0.761
Transformer 128/2,2330,0.7172
Transformer 128/2,2340,0.6954
Transformer 128/2,2350,0.7644
Transformer 128/2,2360,0.7492
Transformer 128/2,2370,0.6469
Transformer 128/2,2380,0.6402
Transformer 128/2,2390,0.7368
Transformer 128/2,2400,0.7868
Transformer 128/2,2410,0.6729
Transformer 128/2,2420,0.5968
Transformer 128/2,2430,0.6305
Transformer 128/2,2440,0.7708
Transformer 128/2,2450,0.5369
Transformer 128/2,2460,0.6698
