model,step,action,80ms,160ms,320ms,400ms,560ms,1000ms
RNN,1000,walking,0.429,0.732,1.038,1.196,1.405,1.396
RNN,2000,walking,0.418,0.703,0.995,1.164,1.363,1.416
RNN,3000,walking,0.402,0.681,0.962,1.121,1.304,1.248
RNN,4000,walking,0.405,0.686,0.964,1.11,1.263,1.219
RNN,5000,walking,0.398,0.672,0.937,1.071,1.215,1.128
RNN,6000,walking,0.39,0.65,0.863,0.949,1.012,1.099
RNN,7000,walking,0.358,0.589,0.754,0.833,0.905,0.991
RNN,8000,walking,0.352,0.577,0.753,0.831,0.925,1.037
RNN,9000,walking,0.343,0.554,0.725,0.813,0.918,1.084
RNN,10000,walking,0.336,0.541,0.728,0.816,0.932,1.139
RNN + velocity,1000,walking,0.45,0.821,1.368,1.617,2.015,2.885
RNN + velocity,2000,walking,0.411,0.737,1.177,1.371,1.665,2.253
RNN + velocity,3000,walking,0.394,0.699,1.093,1.266,1.529,2.044
RNN + velocity,4000,walking,0.385,0.678,1.045,1.204,1.447,1.928
RNN + velocity,5000,walking,0.379,0.665,1.013,1.164,1.395,1.849
RNN + velocity,6000,walking,0.374,0.656,0.994,1.141,1.366,1.815
RNN + velocity,7000,walking,0.372,0.649,0.978,1.121,1.338,1.785
RNN + velocity,8000,walking,0.369,0.642,0.962,1.101,1.311,1.748
RNN + velocity,9000,walking,0.368,0.64,0.959,1.098,1.31,1.757
RNN + velocity,10000,walking,0.367,0.636,0.951,1.087,1.29,1.725
Transformer,2000,walking,0.372,0.619,0.834,0.939,1.108,1.56
Transformer,3000,walking,0.365,0.599,0.766,0.853,1.031,1.52
Transformer,4000,walking,0.347,0.547,0.72,0.807,0.999,1.43
Transformer,5000,walking,0.335,0.516,0.688,0.771,0.945,1.354
Transformer,6000,walking,0.325,0.498,0.698,0.777,0.928,1.324
Transformer,7000,walking,0.324,0.499,0.697,0.794,0.996,1.495
Transformer,8000,walking,0.307,0.469,0.683,0.78,0.943,1.36
Transformer,9000,walking,0.3,0.469,0.695,0.793,0.971,1.42
Transformer,10000,walking,0.298,0.462,0.69,0.796,0.956,1.312
Transformer + velocity,1000,walking,0.401,0.674,0.919,1.044,1.244,1.674
Transformer + velocity,2000,walking,0.37,0.594,0.741,0.822,0.966,1.319
Transformer + velocity,3000,walking,0.366,0.575,0.734,0.817,0.95,1.437
Transformer + velocity,4000,walking,0.348,0.54,0.743,0.854,1.0,1.421
Transformer + velocity,5000,walking,0.337,0.516,0.771,0.892,1.001,1.403
Transformer + velocity,6000,walking,0.322,0.503,0.77,0.897,1.03,1.469
Transformer + velocity,7000,walking,0.316,0.493,0.766,0.897,1.065,1.665
Transformer + velocity,8000,walking,0.322,0.504,0.808,0.948,1.135,1.625
Transformer + velocity,9000,walking,0.311,0.485,0.753,0.88,1.055,1.546
Transformer + velocity,10000,walking,0.31,0.489,0.752,0.868,1.036,1.363
