model,step,step_loss
RNN,0,3917.8752
RNN,10,83.5386
RNN,20,17.7368
RNN,30,6.9507
RNN,40,4.465
RNN,50,3.3828
RNN,60,3.0297
RNN,70,2.3968
RNN,80,2.6881
RNN,90,2.4273
RNN,100,2.2512
RNN,110,2.9033
RNN,120,2.1489
RNN,130,1.8623
RNN,140,1.956
RNN,150,1.7636
RNN,160,1.9271
RNN,170,1.9495
RNN,180,1.5811
RNN,190,1.7606
RNN,200,2.1116
RNN,210,2.1555
RNN,220,1.9772
RNN,230,1.7617
RNN,240,1.6076
RNN,250,1.8305
RNN,260,1.7757
RNN,270,1.6223
RNN,280,2.2683
RNN,290,1.52
RNN,300,1.6217
RNN,310,1.4431
RNN,320,1.4511
RNN,330,1.6085
RNN,340,1.2533
RNN,350,1.7945
RNN,360,1.7499
RNN,370,1.7824
RNN,380,1.2395
RNN,390,1.361
RNN,400,1.336
RNN,410,1.5962
RNN,420,1.4804
RNN,430,1.2231
RNN,440,1.3438
RNN,450,1.5993
RNN,460,1.4104
RNN,470,1.529
RNN,480,1.3798
RNN,490,1.3678
RNN,500,1.5667
RNN,510,1.5398
RNN,520,1.6297
RNN,530,1.5887
RNN,540,1.5239
RNN,550,1.5434
RNN,560,1.6734
RNN,570,1.7597
RNN,580,1.556
RNN,590,1.1856
RNN,600,1.7745
RNN,610,1.3362
RNN,620,1.495
RNN,630,1.8351
RNN,640,1.255
RNN,650,1.4013
RNN,660,1.8203
RNN,670,1.4287
RNN,680,1.103
RNN,690,1.4226
RNN,700,1.3182
RNN,710,1.2078
RNN,720,1.2674
RNN,730,1.1194
RNN,740,1.095
RNN,750,1.2161
RNN,760,1.1748
RNN,770,1.15
RNN,780,1.0493
RNN,790,1.4687
RNN,800,1.2122
RNN,810,1.1823
RNN,820,1.4397
RNN,830,1.1209
RNN,840,0.9757
RNN,850,1.1136
RNN,860,1.5019
RNN,870,1.2296
RNN,880,1.2766
RNN,890,1.2749
RNN,900,1.2459
RNN,910,1.0686
RNN,920,1.0169
RNN,930,1.0576
RNN,940,1.0061
RNN,950,1.3042
RNN,960,1.1382
RNN,970,1.1802
RNN,980,1.3449
RNN,990,1.1268
RNN,1000,1.205
RNN,1010,0.9397
RNN,1020,0.91
RNN,1030,1.1095
RNN,1040,1.2304
RNN,1050,0.9952
RNN,1060,1.2216
RNN,1070,1.0616
RNN,1080,1.1975
RNN,1090,0.9975
RNN,1100,0.8215
RNN,1110,0.8189
RNN,1120,1.0732
RNN,1130,0.9817
RNN,1140,1.003
RNN,1150,1.1454
RNN,1160,0.9158
RNN,1170,1.0332
RNN,1180,1.0345
RNN,1190,1.305
RNN,1200,1.1974
RNN,1210,0.9132
